id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
140322,on,2020,netzero,high,ref,high,low,no,low,516.5531385,electricity
140385,on,2020,netzero,ref,ref,ref,low,yes,low,516.6085162,electricity
140448,on,2020,netzero,low,ref,ref,low,yes,low,516.6951154,electricity
140511,on,2020,netzero,high,ref,ref,low,yes,low,516.5531385,electricity
140574,on,2020,netzero,ref,ref,low,low,yes,low,516.6085162,electricity
140637,on,2020,netzero,low,ref,low,low,yes,low,516.6951154,electricity
140700,on,2020,netzero,high,ref,low,low,yes,low,516.5531385,electricity
140763,on,2020,netzero,ref,ref,high,low,yes,low,516.6085162,electricity
140826,on,2020,netzero,low,ref,high,ref,no,low,516.6951154,electricity
140889,on,2020,netzero,low,ref,high,low,yes,low,516.6951154,electricity
140952,on,2020,netzero,high,ref,high,low,yes,low,516.5531385,electricity
141015,on,2020,netzero,ref,low,ref,low,no,low,516.6120327,electricity
141078,on,2020,netzero,low,low,ref,low,no,low,516.6893103,electricity
141141,on,2020,netzero,high,low,ref,low,no,low,516.551999,electricity
141204,on,2020,netzero,ref,low,low,low,no,low,516.6120327,electricity
141267,on,2020,netzero,low,low,low,low,no,low,516.6893103,electricity
141330,on,2020,netzero,high,low,low,low,no,low,516.551999,electricity
141393,on,2020,netzero,ref,low,high,low,no,low,516.6120327,electricity
141456,on,2020,netzero,low,low,high,low,no,low,516.6893103,electricity
141519,on,2020,netzero,high,ref,high,ref,no,low,516.5531385,electricity
141582,on,2020,netzero,high,low,high,low,no,low,516.551999,electricity
141645,on,2020,netzero,ref,low,ref,low,yes,low,516.6120327,electricity
141708,on,2020,netzero,low,low,ref,low,yes,low,516.6893103,electricity
141771,on,2020,netzero,high,low,ref,low,yes,low,516.551999,electricity
141834,on,2020,netzero,ref,low,low,low,yes,low,516.6120327,electricity
141897,on,2020,netzero,low,low,low,low,yes,low,516.6893103,electricity
141960,on,2020,netzero,high,low,low,low,yes,low,516.551999,electricity
142023,on,2020,netzero,ref,low,high,low,yes,low,516.6120327,electricity
142086,on,2020,netzero,low,low,high,low,yes,low,516.6893103,electricity
