id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_type,fuel_phase
62748,on,2020,netzero,ref,low,low,low,no,low,0.0,biofuel,gas
62776,on,2020,netzero,low,low,low,low,no,low,0.0,biofuel,gas
62804,on,2020,netzero,high,low,low,low,no,low,0.0,biofuel,gas
62832,on,2020,netzero,ref,low,high,low,no,low,0.0,biofuel,gas
62860,on,2020,netzero,low,low,high,low,no,low,0.0,biofuel,gas
62888,on,2020,netzero,high,ref,high,ref,no,low,0.0,biofuel,gas
62916,on,2020,netzero,high,low,high,low,no,low,0.0,biofuel,gas
62944,on,2020,netzero,ref,low,ref,low,yes,low,0.0,biofuel,gas
62972,on,2020,netzero,low,low,ref,low,yes,low,0.0,biofuel,gas
63000,on,2020,netzero,high,low,ref,low,yes,low,0.0,biofuel,gas
63028,on,2020,netzero,ref,low,low,low,yes,low,0.0,biofuel,gas
63056,on,2020,netzero,low,low,low,low,yes,low,0.0,biofuel,gas
63084,on,2020,netzero,high,low,low,low,yes,low,0.0,biofuel,gas
63112,on,2020,netzero,ref,low,high,low,yes,low,0.0,biofuel,gas
63140,on,2020,netzero,low,low,high,low,yes,low,0.0,biofuel,gas
63168,on,2020,netzero,high,low,high,low,yes,low,0.0,biofuel,gas
63196,on,2020,netzero,ref,ref,ref,ref,yes,low,0.0,biofuel,gas
63224,on,2020,netzero,ref,high,ref,low,no,low,0.0,biofuel,gas
63252,on,2020,netzero,low,high,ref,low,no,low,0.0,biofuel,gas
63280,on,2020,netzero,high,high,ref,low,no,low,0.0,biofuel,gas
63308,on,2020,netzero,ref,high,low,low,no,low,0.0,biofuel,gas
63336,on,2020,netzero,low,high,low,low,no,low,0.0,biofuel,gas
63364,on,2020,netzero,high,high,low,low,no,low,0.0,biofuel,gas
63392,on,2020,netzero,ref,high,high,low,no,low,0.0,biofuel,gas
63420,on,2020,netzero,low,high,high,low,no,low,0.0,biofuel,gas
63448,on,2020,netzero,high,high,high,low,no,low,0.0,biofuel,gas
63476,on,2020,netzero,ref,high,ref,low,yes,low,0.0,biofuel,gas
12097,on,2025,legislated,ref,ref,ref,ref,no,high,0.0,biofuel,gas
12125,on,2025,legislated,low,ref,ref,ref,no,high,0.0,biofuel,gas
12153,on,2025,legislated,low,ref,ref,ref,yes,high,0.0,biofuel,gas
12181,on,2025,legislated,low,high,ref,low,yes,high,0.0,biofuel,gas
12209,on,2025,legislated,high,high,ref,low,yes,high,0.0,biofuel,gas
12237,on,2025,legislated,ref,high,low,low,yes,high,0.0,biofuel,gas
12265,on,2025,legislated,low,high,low,low,yes,high,0.0,biofuel,gas
12293,on,2025,legislated,high,high,low,low,yes,high,0.0,biofuel,gas
12321,on,2025,legislated,ref,high,high,low,yes,high,0.0,biofuel,gas
12349,on,2025,legislated,low,high,high,low,yes,high,0.0,biofuel,gas
12377,on,2025,legislated,high,high,high,low,yes,high,0.0,biofuel,gas
12405,on,2025,legislated,high,ref,ref,ref,yes,high,0.0,biofuel,gas
12433,on,2025,legislated,ref,ref,low,ref,yes,high,0.0,biofuel,gas
12461,on,2025,legislated,low,ref,low,ref,yes,high,0.0,biofuel,gas
12489,on,2025,legislated,high,ref,low,ref,yes,high,0.0,biofuel,gas
12517,on,2025,legislated,ref,ref,high,ref,yes,high,0.0,biofuel,gas
12545,on,2025,legislated,low,ref,high,ref,yes,high,0.0,biofuel,gas
12573,on,2025,legislated,high,ref,high,ref,yes,high,0.0,biofuel,gas
12601,on,2025,legislated,ref,low,ref,ref,no,high,0.0,biofuel,gas
12629,on,2025,legislated,low,low,ref,ref,no,high,0.0,biofuel,gas
12657,on,2025,legislated,high,ref,ref,ref,no,high,0.0,biofuel,gas
12685,on,2025,legislated,high,low,ref,ref,no,high,0.0,biofuel,gas
12713,on,2025,legislated,ref,low,low,ref,no,high,0.0,biofuel,gas
12741,on,2025,legislated,low,low,low,ref,no,high,0.0,biofuel,gas
12769,on,2025,legislated,high,low,low,ref,no,high,0.0,biofuel,gas
12797,on,2025,legislated,ref,low,high,ref,no,high,0.0,biofuel,gas
12825,on,2025,legislated,low,low,high,ref,no,high,0.0,biofuel,gas
12853,on,2025,legislated,high,low,high,ref,no,high,0.0,biofuel,gas
12881,on,2025,legislated,ref,low,ref,ref,yes,high,0.0,biofuel,gas
12909,on,2025,legislated,low,low,ref,ref,yes,high,0.0,biofuel,gas
12937,on,2025,legislated,high,low,ref,ref,yes,high,0.0,biofuel,gas
12965,on,2025,legislated,ref,ref,low,ref,no,high,0.0,biofuel,gas
12993,on,2025,legislated,ref,low,low,ref,yes,high,0.0,biofuel,gas
13021,on,2025,legislated,low,low,low,ref,yes,high,0.0,biofuel,gas
13049,on,2025,legislated,high,low,low,ref,yes,high,0.0,biofuel,gas
